REGION,DIVISION,SCHOOL ID,NAME OF SCHOOL,MUNICIPALITY/ LOCATION,LD,NO. OF SITES,SCOPE OF WORKS,OTHER DESIGN CONFIGURATION,NO. OF ACADEMIC CLASSROOMS,NO. OF WORKSHOP (equivalent to 2-CL),NO. OF ICT/COMPUTER LABORATORY (equivalent to 2-CL),NO. OF SCIENCE LABORATORY (equivalent to 2-CL),NO. OF AVR (equivalent to 2-CL),NO. OF HOME ECONOMICS (equivalent to 2-CL),TOTAL CLASSROOMS,WITH DEMOLITION? YES/ NO,WITH SITE IMPROVEMENT? YES/ NO,WITH SLOPE PROTECTION? YES/NO,OTHER REMARKS,With Site Development Plan?,"With proposal from OTHER SOURCES, including LGUs, NGOs, Private Sector etc)?","Avaiability of Buildable Space
(Y/N)","OTHER REMARKS (Buildable Space)
",Site Ownership,"OTHER REMARKS
Site Ownership
","Viability / Accessibility
(Y/N)","OTHER REMARKS
Viability / Accessibility","Operational Readiness
(Y/N)","OTHER REMARKS
Operational Readiness
","Implementability of Proposed Scope
(Y/N)","OTHER REMARKS
Implementability of Proposed Scope
","Geotechnical Testing
(Y/N)","OTHER REMARKS
Geotechnical Testing
",Latitude,Longitude
CAR,Baguio City,136382,Baguio Central school,BAGUIO CITY,Lone ,1,4STY12CL,,8,0,0,1,0,1,12,YES,YES,NO,,"Yes, drawn to scale",No,N,,LGU,Land Title,Y,Proposed driveway,Y,,Y,,Y,Geotechnical testing conducted for nearby structure,16.4132637,120.5904867
CAR,Baguio City,136382,Baguio Central school,BAGUIO CITY,Lone ,,4STY12CL,,8,0,1,0,1,0,12,YES,YES,NO,,"Yes, drawn to scale",No,N,,LGU,Land Title,Y,Proposed driveway,Y,,Y,,Y,Geotechnical testing conducted for nearby structure,16.4132637,120.5904867
CAR,Benguet,305147,Kapangan Central National High School,KAPANGAN,Lone ,1,4STY16CL,,12,,1,1,,,16,YES,YES,YES,,"Yes, but NOT drawn to scale",NONE,N,,TAX DECLARATION,,1,0,1,0,1,0,1,Geotechnical testing conducted for nearby structure,16.5757,120.59365
CAR,Benguet,305133,Benguet National High School,LA TRINIDAD (Capital),Lone ,1,4STY20CL,,14,,1,1,,1,20,YES,YES,YES,WITH PERIMETER FENCING,"Yes, drawn to scale",NONE,N,,DEED OF DONATION,,1,0,1,0,1,0,1,0,16.4564,120.57186
CAR,Benguet,135620,Benguet SPED Center,LA TRINIDAD (Capital),Lone ,1,2STY4CL,,4,,,,,,4,NO,YES,YES,,"Yes, but NOT drawn to scale",NONE,Y,"L=30m
W=15m",DEED OF DONATION,,1,0,1,0,1,0,1,Geotechnical testing conducted for nearby structure,16.45585,120.57148
CAR,Benguet,135623,Buyagan ES,LA TRINIDAD (Capital),Lone ,1,4STY20CL,,16,,1,1,,,20,YES,YES,NO,WITH PERIMETER FENCING,"Yes, but NOT drawn to scale",NONE,N,,TCT/OCT,,1,0,1,0,1,0,0,0,16.4586302,120.5795953
CAR,Benguet,135624,La Trinidad CS,LA TRINIDAD (Capital),Lone ,1,3STY12CL,,12,,,,,,12,YES,YES,YES,,"Yes, drawn to scale",NONE,N,,TAX DECLARATION,,1,0,1,0,1,0,1,Geotechnical testing conducted for nearby structure,16.4617436,120.5862327
CAR,Benguet,501951,Kiwas Integrated School,TUBA,Lone ,1,3STY15CL,,11,,1,1,,,15,NO,YES,YES,,"Yes, but NOT drawn to scale",NONE,Y,"L=60m
W=15m",TAX DECLARATION,,1,0,1,0,1,0,0,0,16.42950254,120.5306059
CAR,Benguet,305162,Tublay School of Home Industries,TUBLAY,Lone ,1,4STY16CL,,4,2,2,2,,,16,NO,YES,YES,,"Yes, but NOT drawn to scale",NONE,Y,"L=52m
W=15m",TCT/OCT,,1,0,1,0,1,0,1,Geotechnical testing conducted for nearby structure,16.47224,120.63201
CAR,Ifugao,319002,Rufino I. Chungalao Science HS,AGUINALDO,Lone ,1,2STY4CL,,4,,,,,,4,NO,YES,NO,School Ground Leveling,"Yes, but NOT drawn to scale",None,Y,With 750 Sq.m available,Tax Declaration,,Y,0,Y,0,Y,0,Y,0,17.0296624,121.3815055
CAR,Ifugao,319002,Rufino I. Chungalao Science HS,AGUINALDO,Lone ,,3STY9CL,,3,,1,1,,1,9,NO,YES,NO,School Ground Leveling,"Yes, but NOT drawn to scale",None,Y,With 750 Sq.m available,Tax Declaration,,Y,0,Y,0,Y,0,Y,0,17.0296624,121.3815055
CAR,Ifugao,305936,Potia National High School,ALFONSO LISTA (POTIA),Lone ,1,3STY12CL,,6,,1,1,,1,12,NO,NO,NO,,"Yes, but NOT drawn to scale",None,Y,With 700 Sq.m available,Title,,Y,0,Y,0,Y,0,Y,0,16.8922837,121.4609545
CAR,Ifugao,319006,Banaue NHS Annex,BANAUE,Lone ,1,4STY8CL,,4,,1,1,,,8,NO,YES,YES,Construction of Slope Protection,"Yes, but NOT drawn to scale",None,Y,with 400Sq.m available,Tax Declaration,,Y,0,Y,0,Y,0,N,0,16.9101763,121.104904
CAR,Ifugao,135870,Julongan ES,KIANGAN,Lone ,1,2STY4CL,,4,,,,,,4,YES,NO,YES,,"Yes, but NOT drawn to scale",None,Y,with 500 Sq.m available,Presidential Proclamation No. 571 s.1940,,Y,,Y,,Y,,N,,16.76441,121.04713
CAR,Ifugao,135907,Nayon ES,LAMUT,Lone ,1,2STY4CL,,4,,,,,,4,YES,NO,NO,,"Yes, but NOT drawn to scale",None,Y,with 500 Sq.m available,Tax Declaration,,Y,0,Y,0,Y,0,Y,,16.7194335,121.171753
CAR,Ifugao,305185,Mayoyao NHS,MAYOYAO,Lone ,1,4STY12CL,,6,,1,1,,1,12,YES,NO,YES,,"Yes, but NOT drawn to scale",None,Y,With 600 Sq.m available,Tax Declaration,,Y,0,Y,0,Y,0,Y,0,16.9569,121.2422
CAR,Mt. Province,305252,Mt. Data National High School,BAUKO,Lone ,1,4STY8CL,,2,1,1,1,,,8,NO,YES,YES,Site improvements includes Site Levelling and Perimeter Drainage Canal. Crib Wall Type Rirap for Soil Protection (Building Protection),"Yes, but NOT drawn to scale",NONE,YES,Located at Lot 2 purposely fo SHS,Tax Declaration,,Y,0,Y,14 (JHS) & 18 (SHS) organized class with an enrollment of 303 (JHS) & 221 (SHS) and 16 instructional rooms,Y,includes site levelling and building protection (slope protection),Y,,16.8631628,120.8737621
CAR,Mt. Province,305252,Mt. Data National High School,BAUKO,Lone ,,4STY8CL,,4,1,,,,1,8,NO,YES,YES,Site improvements includes Site Levelling and Perimeter Drainage Canal. Crib Wall Type Rirap for Soil Protection (Building Protection),"Yes, but NOT drawn to scale",NONE,YES,Located at Lot 2 purposely fo SHS,Tax Declaration,,Y,0,Y,14 (JHS) & 18 (SHS) organized class with an enrollment of 303 (JHS) & 221 (SHS) and 16 instructional rooms,Y,includes site levelling and building protection (slope protection),Y,,16.8631628,120.8737621
CAR,Tabuk City,502483,Ipil Integrated School,CITY OF TABUK (Capital),Lone ,1,4STY8CL,,6,1,,,,,8,YES,YES,NO,,"Yes, but NOT drawn to scale",,N,Needs demolition of existing condemned building,Deed of Donation ,Tax Declaration no. 2003-06042-00027,1,0,1,0,1,0,1,Borehole,17.438922,121.484602
CAR,Tabuk City,136174,Malin-awa Elementary School,CITY OF TABUK (Capital),Lone ,1,4STY8CL,,6,1,,,,,8,YES,YES,NO,Elevate 1 meter from the natural Ground Level due to flooding,"Yes, but NOT drawn to scale",,N,Needs demolition of existing condemned building,Deed of Donation ,,1,0,1,0,1,0,1,SWTS & Borehole,17.394065,121.395778
CAR,Tabuk City,136180,SUYANG ELEMENTARY SCHOOL,CITY OF TABUK (Capital),Lone ,1,2STY6CL,,4,1,,,,,6,YES,YES,NO,,"Yes, but NOT drawn to scale",,N,Needs demolition of existing condemned building,Deed of Donation ,Tax Declaration No. 2014-00-0041-00090 and Tax Declaration No. 2014-00-0041,1,0,1,0,1,0,1,SWTS,17.3963367,121.3480526
CAR,Tabuk City,136165,Tuliao Elementary School,CITY OF TABUK (Capital),Lone ,1,4STY8CL,,6,1,,,,,8,YES,YES,NO,,"Yes, but NOT drawn to scale",,N,Needs demolition of existing condemned building,"OCT No. 020-2022000027, special patent No. SP-Sch-KAL-00072",,1,0,1,0,1,0,1,SWTS,17.4406588,121.4251062
NCR,Caloocan City,305381,Bagong Silang High School,KALOOKAN CITY,1st,1,4STY8CL,,8,,,,,,8,YES,YES,NO,,"Yes, but NOT drawn to scale",NO,N,,,,Y,,Y,,Y,,Y,Implemented by DPWH,14.7707,121.0487
NCR,Caloocan City,305381,Bagong Silang High School,KALOOKAN CITY,1st,,4STY16CL,,16,,,,,,16,YES,YES,NO,,"Yes, but NOT drawn to scale",NO,N,,,,Y,,Y,,Y,,Y,Implemented by DPWH,14.7707,121.0487
NCR,Caloocan City,305382,Kalayaan National High School,KALOOKAN CITY,1st,1,4STY12CL,,12,,,,,,12,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,Y,Implemented by DPWH,14.7806401,121.0318884
NCR,Caloocan City,136647,Pag-asa Elementary School,KALOOKAN CITY,1st,1,4STY8CL,,8,,,,,,8,YES,YES,NO,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,Y,Implemented by DPWH,14.7740604,121.0586147
NCR,Caloocan City,136630,Sta. Quiteria Elementary School,KALOOKAN CITY,1st,1,4STY20CL,,20,,,,,,20,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,Y,Implemented by DPWH,14.6806446,121.0095173
NCR,Caloocan City,136618,Gregoria de Jesus Elementary School,KALOOKAN CITY,2nd,1,Other Design,12STY62CL,42,2,1,5,1,1,62,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,N,No available docs on hand,14.65053,120.9802
NCR,Caloocan City,136608,Kasarinlan Elementary School,KALOOKAN CITY,2nd,1,4STY16CL,,16,,,,,,16,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,N,No available docs on hand,14.641985,120.96918
NCR,Caloocan City,136609,Kaunlaran Elementary School,KALOOKAN CITY,2nd,1,4STY12CL,,12,,,,,,12,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,Y,Implemented by DPWH,14.647381,120.969657
NCR,Caloocan City,305391,"M.B. Asistio, Sr. High School",KALOOKAN CITY,2nd,1,4STY12CL,,12,,,,,,12,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,Y,Implemented by DPWH,14.649004,120.963475
NCR,Caloocan City,305376,Amparo High School,KALOOKAN CITY,3rd,1,4STY12CL,,12,,,,,,12,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,N,No available docs on hand,14.7519494,121.0718465
NCR,Caloocan City,136633,Camarin D Elementary School,KALOOKAN CITY,3rd,1,4STY20CL,,20,,,,,,20,,,,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,N,No available docs on hand,14.7566169,121.0567449
NCR,Caloocan City,305378,NHC High School,KALOOKAN CITY,3rd,1,4STY12CL,,12,,,,,,12,YES,YES,NO,,"Yes, but NOT drawn to scale",NO,N,,,,Y ,1,Y,,Y,,N,No available docs on hand,14.7726231,121.0705096
NCR,Caloocan City,305380,Tala High School,KALOOKAN CITY,3rd,1,4STY12CL,,12,,,,,,12,YES,YES,NO,,"Yes, but NOT drawn to scale",NO,N,,,,Y,1,Y,,Y,,N,No available docs on hand,14.770685,121.0587906
NCR,City of San Juan,502655,Kabayanan Integrated School,CITY OF SAN JUAN,Lone ,1,Other Design,6STY24CL,24,,,,,,24,YES,,,"with Site Validation Assessment Report and initial funding of 60M(Phase 1), for FY2026 SBP","Yes, but NOT drawn to scale",,N,,TCT/Tac Dec,,1,0,1,0,1,0,0,0,14.59886,121.03193
NCR,City of San Juan,136751,Pinaglabanan ES,CITY OF SAN JUAN,Lone ,1,Other Design,6STY24CL,24,,,,,,24,YES,,,"Due to site ownership considerations, the construction project is intended for San Juan City TVL Senior High School, which, for the longest time, has been utilizing the facilities of Pinaglabanan Elementary School. It is also noted that Pinaglabanan Elementary School has no shortage of classrooms, thereby affirming the prioritization of this project for the benefit of the TVL Senior High School.","Yes, but NOT drawn to scale",,N,,Tax Declaration,,1,0,1,0,1,0,0,0,14.603937,121.029699
NCR,City of San Juan,502653,San Juan City Integrated School,CITY OF SAN JUAN,Lone ,1,Other Design,6STY24CL,24,,,,,,24,YES,,,"Due to site ownership considerations, the construction project is intended for San Juan City Academic Senior High School, which, for the longest time, has been utilizing the facilities of San Juan City Integrated School. It is also noted that San Juan City Integrated School has no shortage of classrooms, thereby affirming the prioritization of this project for the benefit of the Academic Senior High School.","Yes, but NOT drawn to scale",,N,,Deed of Donation/Presidential Proclamation,,1,0,1,0,1,0,1,near San Juan River,14.6058998,121.0225904
NCR,City of San Juan,305423,San Juan National High School,CITY OF SAN JUAN,Lone ,1,Other Design,8STY40CL,40,,,,,,40,YES,,,on-going demolition with project allocation of 50M (Phase 1),"Yes, but NOT drawn to scale",,N,,Usufruct Agreement,,1,0,1,0,1,0,0,0,14.60594,121.02927
NCR,Las Piñas City,136774,Daniel Fajardo Elementary School,CITY OF LAS PIÑAS,Lone,1,4STY20CL,,18,,,,1,,20,yes,yes,no,,"Yes, but NOT drawn to scale",no,no,0,,to verify to the School Titling Office/SDO Legal Office,yes,0,1,0,1,0,no,,14.48152,120.98048
NCR,Las Piñas City,136789,Pilar Village Elementary School,CITY OF LAS PIÑAS,Lone ,1,4STY8CL,,8,,,,,,8,yes,yes,no,,"Yes, but NOT drawn to scale",no,no,0,,to verify to the School Titling Office/SDO Legal Office,yes,0,1,0,yes,0,no,Coordinated with DPWH,14.41236,121.00633
NCR,Las Piñas City,136790,Talon Elementary School,CITY OF LAS PIÑAS,Lone ,1,4STY20CL,,20,,,,,,20,yes,yes,no,,"Yes, but NOT drawn to scale",no,no,0,,to verify to the School Titling Office/SDO Legal Office,yes,0,1,0,yes,0,yes,Coordinated with DPWH,14.4383753,121.0024932
NCR,Las Piñas City,136781,Vergonville Elementary School,CITY OF LAS PIÑAS,Lone ,1,4STY16CL,,16,, ,,,,16,yes,yes,no,,"Yes, but NOT drawn to scale",no,no,0,,to verify to the School Titling Office/SDO Legal Office,yes,0,1,0,yes,0,no,Coordinated with DPWH,14.46057,120.98004
NCR,Malabon City,500337,Catmon IS,CITY OF MALABON,Lone ,1,4STY8CL,,8,,,,,,8,YES,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 270+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,"TCT No. M-37225, Deed of Donation, City Board Resolution, MOA",,yes,near the road (site),yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.664891,120.962249
NCR,Malabon City,500338,Col. Ramon Camus Integrated School,CITY OF MALABON,Lone ,1,4STY12CL,,8,,1,1,,,12,yes,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 440+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,Tax Dec No. B-017-02524,,yes,near the road (site),yes,the school needs to be vacated entirely to start the construction (secondary),1,secondary students will use ADM,1,DPWH implemented projects have soil testing availability,14.6618067,120.9499077
NCR,Malabon City,136842,Concepcion ES,CITY OF MALABON,Lone ,1,Other Design,"4STY24CL
U-shaped design",16,,2,2,,,24,yes,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 884+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,Tax Dec No. B-006-03323,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.668037,120.949799
NCR,Malabon City,501208,Dampalit IS,CITY OF MALABON,Lone ,1,4STY12CL,,12,,,,,,12,no,yes,yes,with modification on the position of the stairs; 350+ sqm available,"Yes, but NOT drawn to scale",none,YES,cleared,TCT No 94766,,YES,the site is cleared and readily available for construction,yes,yes,YES,the site is available,1,DPWH implemented projects have soil testing availability,14.6961226,120.9310841
NCR,Malabon City,136854,Epifanio de los Santos ES,CITY OF MALABON,Lone ,1,4STY20CL,,20,,,,,,20,yes,yes,yes,combination of 2sty and 1 sty bldgs to be demolished (available area once demolished is 830+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,"Deed of Donation,  TCT No. 83985",,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6607999,120.9671184
NCR,Malabon City,136854,Epifanio de los Santos ES,CITY OF MALABON,Lone ,,4STY8CL,,8,,,,,,8,yes,yes,yes,combination of 2sty and 1 sty bldgs to be demolished (available area once demolished is 830+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,"Deed of Donation,  TCT No. 83985",,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6607999,120.9671184
NCR,Malabon City,136851,Guillermo S. Sanchez Memorial ES,CITY OF MALABON,Lone ,1,4STY12CL,,8,,1,1,,,12,yes,yes,yes,"modified design, site is irregularly shaped; existing 2 sty bldgs to be demolished (available area once demolished is 455+ sqm)","Yes, but NOT drawn to scale",none,yes (but with demolition),,"Tax Dec No. B-019-04787, Deed of Donation",,yes,yes,yes,the school needs to be vacated entirely to start the construction,probably,the school needs to be vacated entirely to start the construction,1,DPWH implemented projects have soil testing availability,14.6767236,120.9708757
NCR,Malabon City,136835,Longos ES,CITY OF MALABON,Lone ,1,4STY8CL,,6,,1,,,,8,yes,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 270+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,Tax Dec No. B-011-04612,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6552865,120.9575007
NCR,Malabon City,305447,Malabon National High School,CITY OF MALABON,Lone ,1,4STY20CL,,14,,1,1,1,,20,no,yes,yes,U-SHAPE; 777+ sqm available space,"Yes, but NOT drawn to scale",none,yes,cleared,Tax Dec No. B-009-00386,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6769365,120.9419668
NCR,Malabon City,136844,Muzon ES,CITY OF MALABON,Lone ,1,4STY16CL,,16,,,,,,16,yes,yes,yes,existing 2 sty bldgs to be demolished (available area once demolished is 847+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,TCT No. 101554,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.67642,120.9501
NCR,Malabon City,136844,Muzon ES,CITY OF MALABON,Lone ,,4STY8CL,,8,,,,,,8,YES,yes,yes,existing 2 sty bldgs to be demolished (available area once demolished is 847+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,TCT No. 101554,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.67642,120.9501
NCR,Malabon City,340568,Ninoy Aquino Senior High School,CITY OF MALABON,Lone ,1,4STY8CL,,6,,1,,,,8,YES,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 275+ sqm),"Yes, but NOT drawn to scale",none,yes (but with demolition),,Deed of transfer and Cert from NHA,,yes,yes,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6548334,120.9611139
NCR,Malabon City,136831,Panghulo ES,CITY OF MALABON,Lone ,1,4STY12CL,,8,,1,1,,,12,YES,yes,yes,648+ sqm available space,"Yes, but NOT drawn to scale",none,yes,cleared,Tax Dec No. B-015-04250,,yes,the site is cleared and readily available for construction,yes,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.6842,120.95891
NCR,Malabon City,136848,Potrero ES,CITY OF MALABON,Lone ,1,Other Design,"4STY24CL
L shaped (for one of the stairwell)",18,,1,1,1,,24,YES,yes,yes,existing 2 sty bldg to be demolished (available area once demolished is 660+ sqm),"Yes, but NOT drawn to scale",none,yes,,Tax Dec No. B-016-08158,,yes,yes,1,yes,yes,viable,1,DPWH implemented projects have soil testing availability,14.66322,120.983922
NCR,Mandaluyong City,500336,Addition Hills Integrated School,CITY OF MANDALUYONG,Lone ,1,Other Design,"7STY40CL
some portion of ground is open for access to school",30,1,1,1,1,1,40,YES,YES,NO,,NO,,NO,DEMOLITION OF existing old classrooms,LGU,,YES,,YES,,YES,0,NO,,14.5839053,121.0341944
NCR,Mandaluyong City,500332,Highway Hills Integrated School,CITY OF MANDALUYONG,Lone ,1,Other Design,"10STY50CL
some portion of ground is open for access to school",40,1,1,1,1,1,50,YES,YES,NO,,NO,,NO,DEMOLITION OF existing old classrooms,LGU,,YES,,YES,,YES,,NO,,14.5824723,121.049452
NCR,Mandaluyong City,500500,Hulo Integrated School,CITY OF MANDALUYONG,Lone ,1,Other Design,"7STY40CL
some portion of ground is open for access to school",30,1,1,1,1,1,40,YES,YES,NO,,NO,,NO,DEMOLITION OF existing old classrooms,LGU,,YES,,YES,,YES,0,NO,,14.56966,121.034888
NCR,Mandaluyong City,500331,Isaac Lopez Integrated School (Isaac Lopez ES),CITY OF MANDALUYONG,Lone ,1,Other Design,"7STY40CL
some portion of ground is open for access to school",30,1,1,1,1,1,40,YES,YES,NO,,NO,,NO,DEMOLITION OF existing old classrooms,LGU,,YES,,YES,,YES,0,NO,,14.57738,121.02508
NCR,Mandaluyong City,136669,Nueve de Febrero Elementary School,CITY OF MANDALUYONG,Lone ,1,Other Design,"7STY40CL
some portion of ground is open for access to school",30,1,1,1,1,1,40,YES,YES,NO,on going construction(DPWH fund),NO,DPWH,NO,DEMOLITION OF existing old classrooms,LGU,,YES,,YES,,YES,0,NO,,14.58762,121.03874
NCR,Manila,136436,A. V. Hernandez Elementary School,CITY OF MANILA,1st ,1,Other Design,8STY 42CL OPEN GROUND FLOOR AND WITH ROOF DECK,32,,1,1,2,1,42,YES,,,,"Yes, but NOT drawn to scale",,NO,BUILDABLE SITE IS AVAILABLE UPON DEMOLITION OF BUILDING NO. 1. BUILDABLE SPACE IS APPROXIMATELY 900.00 sq.m,YES,,1,0,1,0,1,0,0,0,14.6196169,120.961001
NCR,Manila,136430,Arsenio H. Lacson Elementary School,CITY OF MANILA,1st ,1,Other Design,11STY 80CL OPEN GROUND FLOOR AND WITH ROOF DECK,70,1,1,1,1,1,80,YES,NO,NO,,"Yes, but NOT drawn to scale",NO,NO,BUILDABLE SITE IS AVAILABLE UPON DEMOLITION OF EXISTING BUILDING. BUILDABLE SPACIS APPROXIMATELY 50m x 30m.,YES,,Y,0,Y,0,1,0,0,0,14.6287539,120.9674917
NCR,Manila,136434,Gen. Vicente Lim Elementary School,CITY OF MANILA,1st ,1,10STY50CL,,40,,1,1,1,1,48,YES,,,Z-SHAPED TYPE SCHOOL BUILDING,"Yes, but NOT drawn to scale",,NO,BUILDABLE SITE IS AVAILABLE UPON DEMOLITION OF BUILDING 4 AND 5. BUILDABLE SPACE IS APPROXIMATELY 870 sq.m,YES,YES,1,0,1,0,1,0,0,0,14.6244748,120.9610162
